query	no	title	link	description	total_text
전주 여행	11	 전주  가족 여행  숙소 신라스테이  전주  호텔 추천	https://blog.naver.com/daisy1505/223704464328	이용하면  전주 여행 이 더욱 즐거워질 것 같아요 아이들과 함께하는 전주 가족여행이라면 한옥마을 내에 있는 멋지고 아담한 한옥마을 도서관에도 다녀와보세요 한옥의 감성과 도서관의 조화가 예쁜... 	 전주  가족 여행  숙소 신라스테이  전주  호텔 추천 이용하면  전주 여행 이 더욱 즐거워질 것 같아요 아이들과 함께하는 전주 가족여행이라면 한옥마을 내에 있는 멋지고 아담한 한옥마을 도서관에도 다녀와보세요 한옥의 감성과 도서관의 조화가 예쁜... 
전주 여행	12	[ 전주 여행 ] 길거리음식 투어. 새우만두 다우랑, 전주 비빔밥... 	https://blog.naver.com/ah_chu20/223702854362	전주 비빔밥 고로케 전에도 고로케 가게를 본 적 있으나 먹지는 않았었다. 바로 옆에 전주 바게트가... 마왕육전 내가 이번  전주 여행 에서 꼭 먹겠다고 다짐했던 메뉴 중 첫번째가 마왕육전이다. 지도를 보면... 	[ 전주 여행 ] 길거리음식 투어. 새우만두 다우랑, 전주 비빔밥...  전주 비빔밥 고로케 전에도 고로케 가게를 본 적 있으나 먹지는 않았었다. 바로 옆에 전주 바게트가... 마왕육전 내가 이번  전주 여행 에서 꼭 먹겠다고 다짐했던 메뉴 중 첫번째가 마왕육전이다. 지도를 보면... 
전주 여행	13	 전주 여행  중 들렀던 한옥마을 독채 숙소 밥집	https://blog.naver.com/gonjee73/223702422006	전주 1박 2일 일정을 마치고 집으로... 온 가족 여행이랑 의미가 남달랐던 여행 부산 에선 몇십년만에... 그러다가 눈떠서 보면 눈앞에 절경이 너무 예뻐 찰칵 처음 떠난  전주여행  잊지못할 추억...	 전주 여행  중 들렀던 한옥마을 독채 숙소 밥집 전주 1박 2일 일정을 마치고 집으로... 온 가족 여행이랑 의미가 남달랐던 여행 부산 에선 몇십년만에... 그러다가 눈떠서 보면 눈앞에 절경이 너무 예뻐 찰칵 처음 떠난  전주여행  잊지못할 추억...
전주 여행	14	 전주  1박 2일  여행  &lt;신라스테이  전주 &gt; 신상 호텔 조식	https://blog.naver.com/minekooo/223697764191	# 전주여행  #신라스테이전주 전주 1박 2일 여행 <신라스테이 전주> 신상 호텔 글.사진 ⓒ 미네쿠 안녕하세요~ 오늘은 전주 1박2일 여행을 위해 주말에 부지런히 다녀왔는데요. 이번에 새로 오픈한 신상 호텔... 	 전주  1박 2일  여행  &lt;신라스테이  전주 &gt; 신상 호텔 조식 # 전주여행  #신라스테이전주 전주 1박 2일 여행 <신라스테이 전주> 신상 호텔 글.사진 ⓒ 미네쿠 안녕하세요~ 오늘은 전주 1박2일 여행을 위해 주말에 부지런히 다녀왔는데요. 이번에 새로 오픈한 신상 호텔... 
전주 여행	15	전북  전주  1박 2일  여행  코스 가볼만한곳 5 신라스테이 숙소	https://blog.naver.com/pkj5456/223699359727	전주 가볼만한곳 전주 1박 2일 여행 코스 안녕하세요. 여행 인플루언서 하벨입니다. 지난 주말은 전주에... 그럼 제가 다녀온  전주 여행  코스 소개해 볼게요. 1. 전주 한옥마을 위치 : 전북 전주 완산구 기린대로 99... 	전북  전주  1박 2일  여행  코스 가볼만한곳 5 신라스테이 숙소 전주 가볼만한곳 전주 1박 2일 여행 코스 안녕하세요. 여행 인플루언서 하벨입니다. 지난 주말은 전주에... 그럼 제가 다녀온  전주 여행  코스 소개해 볼게요. 1. 전주 한옥마을 위치 : 전북 전주 완산구 기린대로 99... 
전주 여행	16	 전주  한옥마을 펜션 가족 여행   전주  완산구 감성 숙소 유유히... 	https://blog.naver.com/withou122/223705383950	전주 한옥마을 펜션 가족여행 전주 완산구 감성 숙소 유유히 독채2관 딸아이가 "촌캉스" 얘기를 꺼내며...  전주 여행 하면서 추위에 떨었는데 전주 숙소 욕실 덕분에 욕조에서 따끈한 반신욕까지 가능했어요.... 	 전주  한옥마을 펜션 가족 여행   전주  완산구 감성 숙소 유유히...  전주 한옥마을 펜션 가족여행 전주 완산구 감성 숙소 유유히 독채2관 딸아이가 "촌캉스" 얘기를 꺼내며...  전주 여행 하면서 추위에 떨었는데 전주 숙소 욕실 덕분에 욕조에서 따끈한 반신욕까지 가능했어요.... 
전주 여행	17	 전주여행  필수코스 전주경기전 한복 입고 구경해주기 가족여행	https://blog.naver.com/tongmo3/223687288856	ㅎㅎ 넘나 맛있던걸~~ # 전주여행 #필수코스#목포출발#5월#전주경기전#목포삼남매#대한이네  전주여행  목포에서 기차 타고 아이들 데리고 다녀왔던거~ 2022년 5월 이었다죠.ㅎㅎㅎ 넘나 오래된~ 여행 일기당.... 	 전주여행  필수코스 전주경기전 한복 입고 구경해주기 가족여행 ㅎㅎ 넘나 맛있던걸~~ # 전주여행 #필수코스#목포출발#5월#전주경기전#목포삼남매#대한이네  전주여행  목포에서 기차 타고 아이들 데리고 다녀왔던거~ 2022년 5월 이었다죠.ㅎㅎㅎ 넘나 오래된~ 여행 일기당.... 
전주 여행	18	가을과 겨울이 공존하던  전주여행 	https://blog.naver.com/ohhhm/223701058214	조미영 여사님과 함께하는 1박2일  전주 여행   24.11.25~26 차타고 전주까지 가는 길에 들린 이름도 기억... 맛있음 전주야 안녕~~~~~~~~ 넘넘 즐거웠어 좋은 추억 한가득~~~~~~ 어무니와 희진과 함께한 여행 증말로... 	가을과 겨울이 공존하던  전주여행  조미영 여사님과 함께하는 1박2일  전주 여행   24.11.25~26 차타고 전주까지 가는 길에 들린 이름도 기억... 맛있음 전주야 안녕~~~~~~~~ 넘넘 즐거웠어 좋은 추억 한가득~~~~~~ 어무니와 희진과 함께한 여행 증말로... 
전주 여행	19	전주비빔밥 맛집 및  전주 여행  맛집	https://blog.naver.com/dnjfgid86/223570751618	전주비빔밥 맛집 및  전주 여행  맛집 전주 한옥마을을 방문한 후,  전주 여행  맛집의 진수를 맛보고... 알뜰하게 여행을 즐길 수 있을 것 같습니다. 운영 시간 및 연락처 풍남정은 오전 10시 30분부터 밤 9시까지... 	전주비빔밥 맛집 및  전주 여행  맛집 전주비빔밥 맛집 및  전주 여행  맛집 전주 한옥마을을 방문한 후,  전주 여행  맛집의 진수를 맛보고... 알뜰하게 여행을 즐길 수 있을 것 같습니다. 운영 시간 및 연락처 풍남정은 오전 10시 30분부터 밤 9시까지... 
전주 여행	20	2024년 10월 :  전주 여행 	https://blog.naver.com/puryip/223669558302	기억도 안 날 만큼 엄청 오랜만인 1박  여행 !  전주 까지 네비로 찍히는 시간만 3시간이 넘다 보니 아침 댓바람에 출발했는데도 도착하니 1시가 넘었었다. 친구 집 근처 두거리 우신탕. 코로나 때도 줄 서서 먹던... 	2024년 10월 :  전주 여행  기억도 안 날 만큼 엄청 오랜만인 1박  여행 !  전주 까지 네비로 찍히는 시간만 3시간이 넘다 보니 아침 댓바람에 출발했는데도 도착하니 1시가 넘었었다. 친구 집 근처 두거리 우신탕. 코로나 때도 줄 서서 먹던... 
전주 여행	21	 전주여행  24년 11월 15일~16일	https://blog.naver.com/bubbly_eunsu/223694190468	여행의 시작은 휴게소 소떡소떡 이번엔 떡이랑 떡갈비지ㅋㅋㅋ 날이 좀 흐렸는데 오히려 그래서 눈... 이번  전주여행 의 나의 원픽은 한국집의 모주임.. 여기 모주 먹고 맛있어서 슈퍼에서 기념품으로 모주샀는데... 	 전주여행  24년 11월 15일~16일 여행의 시작은 휴게소 소떡소떡 이번엔 떡이랑 떡갈비지ㅋㅋㅋ 날이 좀 흐렸는데 오히려 그래서 눈... 이번  전주여행 의 나의 원픽은 한국집의 모주임.. 여기 모주 먹고 맛있어서 슈퍼에서 기념품으로 모주샀는데... 
전주 여행	22	 전주  뚜벅이 혼자  여행 코스 책방 겸 북카페 서점카프카	https://blog.naver.com/qkrgkdms1993/223695389438	'나'라는 정원을 가꾸어가는 이야기, 여행블로거 하은정원입니다. 1박 2일로 무척 짧게  전주 여행  찍먹하고 왔어요! 4번째 전주인데, 꽤 오래간만이라 기대했는데요. 짧은 시간 동안 전주의 매력을 찐하게... 	 전주  뚜벅이 혼자  여행 코스 책방 겸 북카페 서점카프카 '나'라는 정원을 가꾸어가는 이야기, 여행블로거 하은정원입니다. 1박 2일로 무척 짧게  전주 여행  찍먹하고 왔어요! 4번째 전주인데, 꽤 오래간만이라 기대했는데요. 짧은 시간 동안 전주의 매력을 찐하게... 
전주 여행	23	전주비빔밥 맛집 알아보고  전주 여행 코스 체크해봐요	https://blog.naver.com/eotjd350/223593986386	하니, 전주 한옥마을을 방문하실 때 참고하시면 알뜰한 여행이 될 거예요. 풍남정은 전주 한옥마을에서... ▶▶ 전주비빔밥 맛집 관련정보 자세히 확인하기 ◀◀ 클릭 #전주비빔밥맛집 # 전주여행 코스 이 글은... 	전주비빔밥 맛집 알아보고  전주 여행 코스 체크해봐요 하니, 전주 한옥마을을 방문하실 때 참고하시면 알뜰한 여행이 될 거예요. 풍남정은 전주 한옥마을에서... ▶▶ 전주비빔밥 맛집 관련정보 자세히 확인하기 ◀◀ 클릭 #전주비빔밥맛집 # 전주여행 코스 이 글은... 
전주 여행	24	 전주  한옥마을 먹거리  여행 코스 신라스테이  전주  루프탑 라운지... 	https://blog.naver.com/daisy1505/223707558278	아니라 전주 먹거리들이 많아서 여행 내내 즐거웠었죠 이번  전주 여행 은 먹거리 여행이라고 해도 될 정도예요 이번에 전주 실내 데이트 코스 찾다가 알게 된 신라스테이 전주 루프탑 라운지 후기까지 함께... 	 전주  한옥마을 먹거리  여행 코스 신라스테이  전주  루프탑 라운지...  아니라 전주 먹거리들이 많아서 여행 내내 즐거웠었죠 이번  전주 여행 은 먹거리 여행이라고 해도 될 정도예요 이번에 전주 실내 데이트 코스 찾다가 알게 된 신라스테이 전주 루프탑 라운지 후기까지 함께... 
전주 여행	25	[ 전주 여행 ] 전주 애견동반 여행. 가을 끝자락	https://blog.naver.com/ah_chu20/223697608568	그래도 나름 일찍 출발했다 생각했는데 서울에서 전주까지 4시간이나 걸렸다... 주말여행은 정말... 오랜만에 온 전주성당. 아침에 그 많은 차들이 어디갔나했더니 우리와 같은  전주 여행  온 사람들인 듯 하다.... 	[ 전주 여행 ] 전주 애견동반 여행. 가을 끝자락 그래도 나름 일찍 출발했다 생각했는데 서울에서 전주까지 4시간이나 걸렸다... 주말여행은 정말... 오랜만에 온 전주성당. 아침에 그 많은 차들이 어디갔나했더니 우리와 같은  전주 여행  온 사람들인 듯 하다.... 
전주 여행	26	 전주 한옥마을  여행  길거리음식 먹거리 총집합	https://blog.naver.com/hongmae1/223673328495	여행경비에 먹거리, 길거리음식 비용이 제일 많은 부분을 차지하지만 그래도 너무 행복하고 즐거웠던 전주 한옥마을 여행이었어요..^^  전주여행  가시면 한옥마을 꼭 들러보시고 먹거리도 다양하게 즐겨보세요~!!	 전주 한옥마을  여행  길거리음식 먹거리 총집합 여행경비에 먹거리, 길거리음식 비용이 제일 많은 부분을 차지하지만 그래도 너무 행복하고 즐거웠던 전주 한옥마을 여행이었어요..^^  전주여행  가시면 한옥마을 꼭 들러보시고 먹거리도 다양하게 즐겨보세요~!!
전주 여행	27	 전주 한옥마을 오래만에 떠난 먹방 여행 	https://blog.naver.com/yann13/223693460187	먹방여행을 계획을 잡다, 호야맘이 좋아하는 #전주한옥마을로 결정하고, 방문 하였습니다!! 이번 여행도... 1박2일  전주 여행 기간 중 2일차 새벽에 눈이 약간 오면서 약간 다른 느낌의 사진들을 담을수 있었는데요.... 	 전주 한옥마을 오래만에 떠난 먹방 여행  먹방여행을 계획을 잡다, 호야맘이 좋아하는 #전주한옥마을로 결정하고, 방문 하였습니다!! 이번 여행도... 1박2일  전주 여행 기간 중 2일차 새벽에 눈이 약간 오면서 약간 다른 느낌의 사진들을 담을수 있었는데요.... 
전주 여행	28	 전주 여행  한옥마을 놀거리 한복대여 체험 이색 데이트 스냅... 	https://blog.naver.com/pingplepi/223707325479	핑플피  전주 여행 하면 가장 먼저 떠오르는 것은 무엇인가요? 바로 전주 한옥마을이 아닐까 싶어요. 고즈넉한 한옥과 골목길이 어우러진 이곳은 마치 시간 여행을 떠난 듯한 느낌을 주죠. 특히 한옥마을에서의... 	 전주 여행  한옥마을 놀거리 한복대여 체험 이색 데이트 스냅...  핑플피  전주 여행 하면 가장 먼저 떠오르는 것은 무엇인가요? 바로 전주 한옥마을이 아닐까 싶어요. 고즈넉한 한옥과 골목길이 어우러진 이곳은 마치 시간 여행을 떠난 듯한 느낌을 주죠. 특히 한옥마을에서의... 
전주 여행	29	 전주  1박2일 여행 코스 및  전주 뚜벅이 여행 코스 자세히 알아보자	https://blog.naver.com/amatte/223687597960	여행의 첫 번째 날, 전주한옥마을을 둘러보는 것으로 시작해 볼까요. 전주한옥마을은 오래된 전통 한옥과 다양한 문화유산이 공존하는 곳입니다. 경기전, 풍남문, 향교 등 볼거리가 많아  전주 여행  필수 코스로... 	 전주  1박2일 여행 코스 및  전주 뚜벅이 여행 코스 자세히 알아보자 여행의 첫 번째 날, 전주한옥마을을 둘러보는 것으로 시작해 볼까요. 전주한옥마을은 오래된 전통 한옥과 다양한 문화유산이 공존하는 곳입니다. 경기전, 풍남문, 향교 등 볼거리가 많아  전주 여행  필수 코스로... 
전주 여행	30	ESTJ 철수투어 뚜벅뚜벅  전주 여행  1박2일 고고링	https://blog.naver.com/dss02071/223674719598	즐거운 ESTJ 철수투어 : 전북  전주 여행  여행일자 : 2024년 11월 12일-13일 (월-화) 이동수단 : 기차(서대전역-전주역), 전주시내버스 1일차 서대전역 → 전주역 → 호성동고깃집 → 전주동물원 → 코지풋샵... 	ESTJ 철수투어 뚜벅뚜벅  전주 여행  1박2일 고고링 즐거운 ESTJ 철수투어 : 전북  전주 여행  여행일자 : 2024년 11월 12일-13일 (월-화) 이동수단 : 기차(서대전역-전주역), 전주시내버스 1일차 서대전역 → 전주역 → 호성동고깃집 → 전주동물원 → 코지풋샵... 
전주 여행	31	 전주  호텔 아이랑 가족 여행   전주 시그니처 레지던스호텔	https://blog.naver.com/acmeroom/223677827171	 전주 여행  코스로 한옥마을에서 호텔까지 15분 거리라 가깝기도 하고 동선이 편해서 이동하기 편했어요. 고급 호텔은 아니지만 자는데 불편함 없었고 아이랑 전주 가족 여행 숙소로 만족스러워요.... 	 전주  호텔 아이랑 가족 여행   전주 시그니처 레지던스호텔  전주 여행  코스로 한옥마을에서 호텔까지 15분 거리라 가깝기도 하고 동선이 편해서 이동하기 편했어요. 고급 호텔은 아니지만 자는데 불편함 없었고 아이랑 전주 가족 여행 숙소로 만족스러워요.... 
전주 여행	32	전주 1박2일여행코스 추천 및  전주여행 후기	https://blog.naver.com/merry_902/223622441446	주변 명소 추가 탐방 이 코스를 통해 전주의 전통과 현대적인 감각이 어우러진 매력을 충분히 느낄 수 있을 것입니다. ▶▶ 관련 내용 꼼꼼히 체크해보기 ◀◀ 클릭 #전주1박2일여행코스 # 전주여행 후기	전주 1박2일여행코스 추천 및  전주여행 후기 주변 명소 추가 탐방 이 코스를 통해 전주의 전통과 현대적인 감각이 어우러진 매력을 충분히 느낄 수 있을 것입니다. ▶▶ 관련 내용 꼼꼼히 체크해보기 ◀◀ 클릭 #전주1박2일여행코스 # 전주여행 후기
전주 여행	33	 전주여행 선물 우리나라 유일 수제 모주초콜릿 구술사탕	https://blog.naver.com/jar666666/223706820405	 전주여행  가시면 아직 전주 초코파이  전주여행 선물로 사 오시나요? 식상하지 않은 전주선물로 우리나라 유일의 수제 술초콜릿 & 수제 술사탕 소개해드리려구요. 모주로 만든 모주초콜렛과 복숭아주로 만든 수제... 	 전주여행 선물 우리나라 유일 수제 모주초콜릿 구술사탕  전주여행  가시면 아직 전주 초코파이  전주여행 선물로 사 오시나요? 식상하지 않은 전주선물로 우리나라 유일의 수제 술초콜릿 & 수제 술사탕 소개해드리려구요. 모주로 만든 모주초콜렛과 복숭아주로 만든 수제... 
전주 여행	34	 전주  가볼만한곳 맛집  여행  가맥집 신라스테이 호텔 등	https://blog.naver.com/minekooo/223704390636	#전주가볼만한곳 #신라스테이전주 전주 가볼만한곳 맛집 여행 가맥집 신라스테이 호텔 등 글.사진... 신라스테이 전주에서 1박을 하며 주변 전주 가볼만한곳들을 둘러봤는데요 *.* 이번  전주 여행  컨셉은... 	 전주  가볼만한곳 맛집  여행  가맥집 신라스테이 호텔 등 #전주가볼만한곳 #신라스테이전주 전주 가볼만한곳 맛집 여행 가맥집 신라스테이 호텔 등 글.사진... 신라스테이 전주에서 1박을 하며 주변 전주 가볼만한곳들을 둘러봤는데요 *.* 이번  전주 여행  컨셉은... 
전주 여행	35	전주 1박2일여행코스와  전주 여행 지, 알찬 여행을 위한 완벽... 	https://blog.naver.com/guard100/223672390325	누리며, 여행 코스를 간편하게 정할 수 있었습니다. 가을에는 노란 단풍이 장관을 이루는 전주, 여러분도 전주의 아름다움을 만끽하시길 바라며, 다음 여행지에서 또 만나요. #전주1박2일여행코스 # 전주여행 지	전주 1박2일여행코스와  전주 여행 지, 알찬 여행을 위한 완벽...  누리며, 여행 코스를 간편하게 정할 수 있었습니다. 가을에는 노란 단풍이 장관을 이루는 전주, 여러분도 전주의 아름다움을 만끽하시길 바라며, 다음 여행지에서 또 만나요. #전주1박2일여행코스 # 전주여행 지
전주 여행	36	 전주 여행  추억맛집 필수코스 진미집	https://blog.naver.com/hiroaya/223693181525	변화가 덜해서 반가웠던 돼지불고기 추억 맛집 진미집이었어요. :D #전주맛집 # 전주여행 맛집 #전주먹거리 #전주돼지불고기 #전주현지인맛집 #전주실내마차원조 #전주연탄구이 #전주진미집 #전주노포 #진미집본점	 전주 여행  추억맛집 필수코스 진미집 변화가 덜해서 반가웠던 돼지불고기 추억 맛집 진미집이었어요. :D #전주맛집 # 전주여행 맛집 #전주먹거리 #전주돼지불고기 #전주현지인맛집 #전주실내마차원조 #전주연탄구이 #전주진미집 #전주노포 #진미집본점
전주 여행	37	[전주/남노송동]  전주여행  꼭 가볼 만한 곳! 전주한옥마을	https://blog.naver.com/qhfka3465/223677727984	옛날에 가서 초코파이 샀었는데 이번에는 패스했네요.  전주 여행 에 빠질 수 없는 곳 전주 한옥마을! 곳곳에 숨어있는 볼거리 놓치지 말고 즐거운 여행 되세요:) 끝.	[전주/남노송동]  전주여행  꼭 가볼 만한 곳! 전주한옥마을 옛날에 가서 초코파이 샀었는데 이번에는 패스했네요.  전주 여행 에 빠질 수 없는 곳 전주 한옥마을! 곳곳에 숨어있는 볼거리 놓치지 말고 즐거운 여행 되세요:) 끝.
전주 여행	38	 전주 여행  맛집과 전주한옥마을여행선물, 맛과 멋을 즐기다	https://blog.naver.com/phu73/223672463512	 전주 여행  맛집을 탐방하며 전주의 매력을 마음껏 느껴보세요. # 전주여행 맛집 #전주한옥마을여행선물 본 포스팅은 업체로부터 소정의 원고료를 지급받아 작성되었습니다.	 전주 여행  맛집과 전주한옥마을여행선물, 맛과 멋을 즐기다  전주 여행  맛집을 탐방하며 전주의 매력을 마음껏 느껴보세요. # 전주여행 맛집 #전주한옥마을여행선물 본 포스팅은 업체로부터 소정의 원고료를 지급받아 작성되었습니다.
전주 여행	39	12월 국내  여행  숙소 예약 야놀자특가 라한호텔  전주  호텔 할인팁	https://blog.naver.com/huniiyurii/223682747764	야놀자특가 숙페셜데이로 가성비 있게 즐겨보자구요! #야놀자 #숙페셜데이 #야놀자특가 #야놀자숙페셜데이 #라한호텔전주 #국내숙소 #야놀자국내숙소 #크리스마스여행 # 전주여행 	12월 국내  여행  숙소 예약 야놀자특가 라한호텔  전주  호텔 할인팁 야놀자특가 숙페셜데이로 가성비 있게 즐겨보자구요! #야놀자 #숙페셜데이 #야놀자특가 #야놀자숙페셜데이 #라한호텔전주 #국내숙소 #야놀자국내숙소 #크리스마스여행 # 전주여행 
전주 여행	40	[일상] 11월 일기 (+결혼 1주년 기념  전주여행 )	https://blog.naver.com/qhqoqhdud/223702000357	11월의 크리스마스 느낌있다  전주여행  정말 좋아 #다가여행자도서관 #전주가볼만한곳 새로운 것을 좋아하는 나  전주여행  와서 느낀 점이 국내여행 좋은 곳은 무궁무진하다는 것 담엔 부여쪽 백제문화권 여행도... 	[일상] 11월 일기 (+결혼 1주년 기념  전주여행 ) 11월의 크리스마스 느낌있다  전주여행  정말 좋아 #다가여행자도서관 #전주가볼만한곳 새로운 것을 좋아하는 나  전주여행  와서 느낀 점이 국내여행 좋은 곳은 무궁무진하다는 것 담엔 부여쪽 백제문화권 여행도... 
